,title,min salary,max salary,currency,emploer,link
0,Старший/Ведущий аналитик,2822,-,USD,ООО Крит,https://spb.hh.ru/vacancy/44747352?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
1,Ведущий аналитик,-,-,USD,Мегалит,https://spb.hh.ru/vacancy/49081898?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
2,Аналитик,2117,-,USD,Lenvendo,https://spb.hh.ru/vacancy/48058870?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
3,Ведущий аналитик,-,-,USD,"«Почта России», Офис",https://spb.hh.ru/vacancy/48497676?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
4,Ведущий аналитик,-,-,USD,Digital Design,https://spb.hh.ru/vacancy/49044394?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
5,Ведущий аналитик,-,-,USD,Digital Design,https://spb.hh.ru/vacancy/49044368?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
6,Ведущий аналитик Отдела операционного маркетинга,-,-,USD,ООО ОРИМИ ТРЭЙД,https://spb.hh.ru/vacancy/48345410?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
7,Продуктовый аналитик,-,-,USD,GrowFood,https://spb.hh.ru/vacancy/42329774?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
8,Аналитик,-,1693,USD,ООО КримТех,https://spb.hh.ru/vacancy/48943621?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
9,Ведущий аналитик данных,1411,1411,USD,ООО Агентство судебного взыскания,https://spb.hh.ru/vacancy/47909324?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
10,Ведущий аналитик отдела инвестиционного контроллинга,-,-,USD,"Лента, федеральная розничная сеть, Офис",https://spb.hh.ru/vacancy/48416564?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
11,Старший аналитик,-,-,USD,ООО ОРИМИ ТРЭЙД,https://spb.hh.ru/vacancy/48850784?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
12,Ведущий аналитик 1С,-,2117,USD,ПитерСофт,https://spb.hh.ru/vacancy/48380442?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
13,Ведущий аналитик (логистика),1411,-,USD,ООО Корона Авто,https://spb.hh.ru/vacancy/48195062?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
14,Ведущий аналитик,1129,-,USD,ООО Агентство судебного взыскания,https://spb.hh.ru/vacancy/47712683?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
15,Ведущий аналитик,-,-,USD,"Максимум, Автомобильный холдинг",https://spb.hh.ru/vacancy/48293215?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
16,Ведущий аналитик 1С,1976,1976,USD,ПЕНОПЛЭКС,https://spb.hh.ru/vacancy/45447010?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
17,Ведущий аналитик,-,-,USD,"ПАО «Группа Черкизово», Центральный офис",https://spb.hh.ru/vacancy/48706888?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
18,Ведущий Аналитик 1С,2117,2822,USD,diHouse (ГК ЛАНИТ),https://spb.hh.ru/vacancy/48549083?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
19,Бизнес-аналитик удаленно,-,2117,USD,Илюмжинова Вера Викторовна,https://spb.hh.ru/vacancy/48553345?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
20,Ведущий бизнес-аналитик,957,1116,USD,АКМЭ сервис,https://spb.hh.ru/vacancy/48443707?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
21,Специалист по контекстной рекламе / Контестолог / Директолог,988,-,USD,ООО Строй-Сервис,https://spb.hh.ru/vacancy/49036714?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
22,Интернет-маркетолог (уровень Middle+/Senior),1129,1976,USD,Sound Dealer,https://spb.hh.ru/vacancy/48880800?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
23,Старший менеджер по подбору персонала,-,-,USD,Авито: продажи,https://spb.hh.ru/vacancy/49080833?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
24,Старший менеджер по работе с крупными корпоративными клиентами,-,-,USD,Сбер для экспертов,https://spb.hh.ru/vacancy/48254514?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
25,Senior IT recruiter (Gamedev),2117,-,USD,ООО Amaya Soft,https://spb.hh.ru/vacancy/48742866?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
26,Менеджер по продажам / Менеджер отдела продаж / ЛИДоруб,1129,2963,USD,ООО Строй-Сервис,https://spb.hh.ru/vacancy/46639966?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
27,Системный аналитик,2117,-,USD,ООО ЛК Сименс Финанс,https://spb.hh.ru/vacancy/48901138?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
28,Ведущий менеджер по подбору персонала,988,-,USD,Компания Кухонный завод,https://spb.hh.ru/vacancy/48251240?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
29,Менеджер отдела квалификации (обработка входящих заявок и назначение встреч),564,988,USD,INVO Group,https://spb.hh.ru/vacancy/48919796?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
30,Бизнес / системный аналитик,-,2540,USD,АРТ-БАНК,https://spb.hh.ru/vacancy/48470064?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
31,Ведущий аналитик BI,-,-,USD,СИГМА,https://spb.hh.ru/vacancy/48978442?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
32,Ведущий бизнес-аналитик,-,-,USD,Eqvanta,https://spb.hh.ru/vacancy/48560167?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
33,Старший бизнес-аналитик СЭД,1411,-,USD,Syntellect (ООО СИНТЕЛЛЕКТ),https://spb.hh.ru/vacancy/42785686?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
34,Системный аналитик (Senior),2822,3528,USD,ООО Интеллектуальные Продукты,https://spb.hh.ru/vacancy/48888663?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
35,Ведущий специалист по аналитике,-,-,USD,Билайн,https://spb.hh.ru/vacancy/48405082?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
36,"Главный специалист (аналитика, прогнозирование)",889,-,USD,"«Почта России», Офис",https://spb.hh.ru/vacancy/46984298?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
37,"Аналитик 1С / Ведущий аналитик 1С ERP (Финансы, бухгалтерия, зарплата)",1411,2258,USD,ВНЕДРЕНЕЦ,https://spb.hh.ru/vacancy/48299604?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
38,Аналитик CRM / бизнес-аналитик,-,-,USD,ДЛТ. ЦУМ – Санкт-Петербург,https://spb.hh.ru/vacancy/47565021?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
39,System Analyst/ Системный аналитик (возможность полной удаленной работы),2117,-,USD,Екассир,https://spb.hh.ru/vacancy/47109559?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
40,Data Analyst,2822,-,USD,Novakid Inc,https://spb.hh.ru/vacancy/48775586?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
41,Финансовый аналитик,988,-,USD,СПб ИЗОТОП,https://spb.hh.ru/vacancy/49081948?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
42,Ведущий Аналитик 1С ЗУП,1552,2117,USD,ООО Проекты и Поддержка,https://spb.hh.ru/vacancy/48997510?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
43,Бизнес аналитик / Системный аналитик в международные CRM проекты,847,1129,USD,Smart Capital,https://spb.hh.ru/vacancy/48887915?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
44,Ведущий аналитик-маркетолог (руководитель отдела),-,-,USD,ООО Глассен-АйТи,https://spb.hh.ru/vacancy/48597093?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
45,Консультант-аналитик 1С (Ведущий консультант-аналитик 1С),1693,2117,USD,Onecloudspace,https://spb.hh.ru/vacancy/47459474?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
46,Младший бизнес-аналитик,423,706,USD,Интроверт,https://spb.hh.ru/vacancy/48384641?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
47,Бизнес-аналитик,-,-,USD,СИГМА,https://spb.hh.ru/vacancy/48978645?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
48,Ведущий аналитик BI (удаленно),-,-,USD,IBS,https://spb.hh.ru/vacancy/49037125?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
49,Бизнес-аналитик (1С),-,-,USD,ООО СТА Карго,https://spb.hh.ru/vacancy/48433185?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
50,Старший/Ведущий аналитик,2822,-,USD,ООО Крит,https://spb.hh.ru/vacancy/44747352?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
51,Аналитик,2117,-,USD,Lenvendo,https://spb.hh.ru/vacancy/48058870?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
52,Ведущий аналитик,-,-,USD,Мегалит,https://spb.hh.ru/vacancy/49081898?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
53,Ведущий аналитик,-,-,USD,Digital Design,https://spb.hh.ru/vacancy/49044368?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
54,Ведущий аналитик,-,-,USD,Digital Design,https://spb.hh.ru/vacancy/49044394?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
55,Ведущий аналитик,-,-,USD,"«Почта России», Офис",https://spb.hh.ru/vacancy/48497676?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
56,Аналитик,-,1693,USD,ООО КримТех,https://spb.hh.ru/vacancy/48943621?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
57,Ведущий аналитик 1С,-,2117,USD,ПитерСофт,https://spb.hh.ru/vacancy/48380442?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
58,Ведущий аналитик данных,1411,1411,USD,ООО Агентство судебного взыскания,https://spb.hh.ru/vacancy/47909324?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
59,Ведущий аналитик Отдела операционного маркетинга,-,-,USD,ООО ОРИМИ ТРЭЙД,https://spb.hh.ru/vacancy/48345410?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
60,Старший аналитик,-,-,USD,ООО ОРИМИ ТРЭЙД,https://spb.hh.ru/vacancy/48850784?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
61,Ведущий аналитик отдела инвестиционного контроллинга,-,-,USD,"Лента, федеральная розничная сеть, Офис",https://spb.hh.ru/vacancy/48416564?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
62,Ведущий аналитик (логистика),1411,-,USD,ООО Корона Авто,https://spb.hh.ru/vacancy/48195062?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
63,Ведущий аналитик 1С,1976,1976,USD,ПЕНОПЛЭКС,https://spb.hh.ru/vacancy/45447010?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
64,Ведущий аналитик,-,-,USD,"Максимум, Автомобильный холдинг",https://spb.hh.ru/vacancy/48293215?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
65,Ведущий аналитик,1129,-,USD,ООО Агентство судебного взыскания,https://spb.hh.ru/vacancy/47712683?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
66,Продуктовый аналитик,-,-,USD,GrowFood,https://spb.hh.ru/vacancy/42329774?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
67,Ведущий аналитик,-,-,USD,"ПАО «Группа Черкизово», Центральный офис",https://spb.hh.ru/vacancy/48706888?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
68,Ведущий Аналитик 1С,2117,2822,USD,diHouse (ГК ЛАНИТ),https://spb.hh.ru/vacancy/48549083?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
69,Бизнес-аналитик удаленно,-,2117,USD,Илюмжинова Вера Викторовна,https://spb.hh.ru/vacancy/48553345?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
70,Ведущий бизнес-аналитик,957,1116,USD,АКМЭ сервис,https://spb.hh.ru/vacancy/48443707?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
71,Специалист по контекстной рекламе / Контестолог / Директолог,988,-,USD,ООО Строй-Сервис,https://spb.hh.ru/vacancy/49036714?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
72,Интернет-маркетолог (уровень Middle+/Senior),1129,1976,USD,Sound Dealer,https://spb.hh.ru/vacancy/48880800?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
73,Старший менеджер по подбору персонала,-,-,USD,Авито: продажи,https://spb.hh.ru/vacancy/49080833?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
74,Старший менеджер по работе с крупными корпоративными клиентами,-,-,USD,Сбер для экспертов,https://spb.hh.ru/vacancy/48254514?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
75,Senior IT recruiter (Gamedev),2117,-,USD,ООО Amaya Soft,https://spb.hh.ru/vacancy/48742866?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
76,Менеджер по продажам / Менеджер отдела продаж / ЛИДоруб,1129,2963,USD,ООО Строй-Сервис,https://spb.hh.ru/vacancy/46639966?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
77,Системный аналитик,2117,-,USD,ООО ЛК Сименс Финанс,https://spb.hh.ru/vacancy/48901138?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
78,Ведущий менеджер по подбору персонала,988,-,USD,Компания Кухонный завод,https://spb.hh.ru/vacancy/48251240?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
79,Менеджер отдела квалификации (обработка входящих заявок и назначение встреч),564,988,USD,INVO Group,https://spb.hh.ru/vacancy/48919796?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
80,Бизнес / системный аналитик,-,2540,USD,АРТ-БАНК,https://spb.hh.ru/vacancy/48470064?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
81,Ведущий аналитик BI,-,-,USD,СИГМА,https://spb.hh.ru/vacancy/48978442?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
82,Ведущий бизнес-аналитик,-,-,USD,Eqvanta,https://spb.hh.ru/vacancy/48560167?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
